region_name,accuracy_score,precision_score,recall_score,roc_auc_score,f1_score
Ahmedabad,0.8995901639,0.15,0.08571428571,0.5240933459,0.1090909091
Bangalore,0.9077868852,0.375,0.06976744186,0.5292657434,0.1176470588
chennai,0.9159836066,0,0,0.4988839286,0
gandhinagar,0.9180327869,0.3076923077,0.1142857143,0.5472090823,0.1666666667
guwahati,0.8831967213,0.2857142857,0.03703703704,0.5127581499,0.06557377049
hyderabad,0.8954918033,0.2,0.02083333333,0.5058712121,0.03773584906
itanagar,0.887295082,0.5,0.01818181818,0.5079361747,0.0350877193
jaipur,0.8893442623,0.25,0.01923076923,0.5061750176,0.03571428571
jaisalmer,0.9487704918,0.5,0.08,0.5378401728,0.1379310345
kanpur,0.8831967213,0.4,0.03571428571,0.5143849206,0.06557377049
kharagpur,0.8913934426,0.5714285714,0.07407407407,0.5335808158,0.131147541
kolkata,0.8831967213,1,0.05,0.525,0.09523809524
mawsynram,0.8954918033,0,0,0.5,0
mumbai,0.8790983607,0.5185185185,0.2333333333,0.6014797508,0.3218390805
New Delhi,0.9118852459,0.25,0.0243902439,0.5088394173,0.04444444444
osmanabad,0.9323770492,0.7142857143,0.1388888889,0.5672320551,0.2325581395
pune,0.9077868852,0.6111111111,0.2244897959,0.6042722328,0.328358209
roorkee,0.8893442623,0.25,0.04,0.5131506849,0.06896551724
thiruvananthapuram,0.9323770492,0.7777777778,0.1842105263,0.5898830409,0.2978723404
